region_code,year,gdp_pc_pps,unemployment_rate,tertiary_share_25_64,std_gdp_pc_pps,std_unemployment_rate,std_tertiary_share_25_64,mahal_dist,flag_zscore,flag_mahal,flag_iforest,flag_lof,flag_ocsvm,flag_at_least_3,PC1,PC2
DE21,2022,172.0,4.3,42.3,1.8579104756771698,-0.89174105193548,0.9304132288936268,3.7095697553315246,False,False,False,False,False,False,2.1521345336575854,-0.5025191403869956
DE22,2022,119.0,,27.2,0.9230461315165784,-0.1922127355761987,-0.505657966583601,2.6845819782941707,False,False,False,False,False,False,0.36599187724090604,-0.3556505815069128
DE23,2022,124.0,,30.4,1.0274984802381915,-0.1922127355761987,-0.20132499800564543,2.1616754503247577,False,False,False,False,False,False,0.641151989732714,-0.2482523686065795
DE24,2022,109.0,3.0,27.4,0.7002862168343276,-1.0700521913996106,-0.48663715604747876,2.348843867913465,False,False,False,False,False,False,0.44122281880546,-1.1711408887714163
DE25,2022,128.0,2.7,33.5,1.1080714008562527,-1.1112009158913332,0.09349756530424917,2.338505016076832,False,False,False,False,False,False,1.1235368013816602,-1.004413266435688
DE26,2022,115.0,2.2,29.8,0.8362741293894496,-1.1797821233775372,-0.2583874296140119,2.3588675318703927,False,False,False,False,False,False,0.7158441106801172,-1.1931549471700578
DE27,2022,111.0,2.2,29.8,0.7464299212982487,-1.1797821233775372,-0.2583874296140119,2.150138409996736,False,False,False,False,False,False,0.6523491463379018,-1.1933762731612712
DE30,2022,123.0,15.1,48.2,1.0069491061871287,0.5896130297665274,1.491527139709233,2.6758742652365526,False,False,False,False,False,False,1.5505841469683035,1.0794394855823852
DE40,2022,88.0,2.9,29.5,0.15716168925758425,-1.0837684328968513,-0.2869186454181953,1.2707109802298402,False,False,False,False,False,False,0.1929531335118275,-1.1150057200188404
DE50,2022,139.0,5.6,31.0,1.317299733589349,-0.7134299124713496,-0.14426256639727864,3.1671288633869565,False,False,False,False,False,False,1.014383187269346,-0.7152970190299149
DE60,2022,202.0,9.2,38.1,2.265926193725623,-0.21964521857068048,0.5309762076350605,6.466313237665579,False,False,False,True,True,False,2.0077320384061355,-0.013069964794234168
DE71,2022,146.0,8.1,34.6,1.441990332784735,-0.37052387504032935,0.19811202325292154,2.795600920220753,False,False,False,False,False,False,1.243046345821316,-0.2735040497390772
DE72,2022,99.0,2.6,31.3,0.45607546166058993,-1.124917157388574,-0.11573135059309522,1.4058198091952376,False,False,False,False,False,False,0.5277728992141467,-1.092516881270537
DE73,2022,107.0,2.4,25.9,0.6532879509247456,-1.1523496403830553,-0.6292932350683954,2.744667007166715,False,False,False,False,False,False,0.334261546048419,-1.2985075125631456
DE80,2022,86.0,3.5,25.5,0.0988181121882987,-1.0014709839134066,-0.6673348561406398,1.5799668358120307,False,False,False,False,False,False,-0.12058834835335396,-1.1720470226530837
DE91,2022,126.0,3.1,32.8,1.0681046877870735,-1.05633594990237,0.026924728427821117,2.246240610700557,False,False,False,False,False,False,1.0374932203410965,-0.9765964280305256
DE92,2022,110.0,5.9,30.5,0.7234629425664638,-0.672281187979627,-0.1918145927375842,1.2953405105958438,False,False,False,False,False,False,0.5529294326643452,-0.6949863926445926
DE93,2022,85.0,2.6,27.7,0.06913550680877417,-1.124917157388574,-0.4581059402432954,1.4917338206638706,False,False,False,False,False,False,0.027804655642826855,-1.2140035985656172
DE94,2022,108.0,5.2,27.9,0.676895877716329,-0.7682948784603127,-0.4390851297071732,1.790748777476661,False,False,False,False,False,False,0.3805005462120696,-0.8720197303021102
DEA1,2022,119.0,8.9,28.7,0.9230461315165784,-0.2607939430624028,-0.36300188756268426,2.1999363743003677,False,False,False,False,False,False,0.47756407242988635,-0.36961874196139965
DEA2,2022,122.0,7.4,34.4,0.9862319802882196,-0.4665375655210149,0.17909121271679904,1.269333164369359,False,False,False,False,False,False,0.9324385127643736,-0.37118973092832114
